grade_id,student_id,semester,subject_code,subject_name,marks,max_marks,year
G001,S001,1,CS101,Introduction to Programming,85,100,2022
G002,S001,1,CS102,Data Structures,78,100,2022
G003,S001,1,MATH101,Calculus I,72,100,2022
G004,S001,2,CS201,Algorithms,88,100,2023
G005,S001,2,CS202,Database Systems,91,100,2023
G006,S002,1,MATH101,Calculus I,95,100,2021
G007,S002,1,MATH102,Linear Algebra,89,100,2021
G008,S002,2,MATH201,Statistics,92,100,2022
G009,S003,1,PHY101,Mechanics,67,100,2022
G010,S003,1,PHY102,Thermodynamics,71,100,2022
G011,S003,2,PHY201,Electromagnetism,58,100,2023
G012,S004,1,CS101,Introduction to Programming,94,100,2023
G013,S004,1,CS102,Data Structures,88,100,2023
G014,S005,1,ENG101,Engineering Mathematics,76,100,2021
G015,S005,1,ENG102,Circuit Theory,82,100,2021
G016,S005,2,ENG201,Signals and Systems,79,100,2022
G017,S006,1,MATH101,Calculus I,55,100,2022
G018,S006,2,MATH201,Statistics,48,100,2023
G019,S007,1,CS101,Introduction to Programming,91,100,2021
G020,S007,1,CS102,Data Structures,87,100,2021
G021,S007,2,CS201,Algorithms,93,100,2022
G022,S008,1,PHY101,Mechanics,62,100,2023
G023,S009,1,ENG101,Engineering Mathematics,,100,2022
G024,S009,2,ENG201,Signals and Systems,70,100,2023
G025,S010,1,CS101,Introduction to Programming,88,100,2021
G026,S010,1,CS102,Data Structures,84,100,2021
G027,S010,2,CS201,Algorithms,90,100,2022
G028,S011,1,MATH101,Calculus I,73,100,2023
G029,S012,1,ENG101,Engineering Mathematics,66,100,2022
G030,S013,1,CS101,Introduction to Programming,97,100,2023
G031,S014,1,PHY101,Mechanics,80,100,2021
G032,S014,2,PHY201,Electromagnetism,75,100,2022
G033,S015,1,MATH101,Calculus I,88,100,2022
G034,S015,2,MATH201,Statistics,85,100,2023
